LaLiga,2020-2021,masculino
Alavés,28.7,42.8,38,35,21,96,8,42.6,404,938,0.92,0.55,1.12
Athletic Club,26.6,49.9,38,43,31,82,3,43.1,685,1496,1.13,0.82,1.13
Atlético Madrid,27.3,52.3,38,65,54,100,0,52.8,694,1604,1.71,1.42,1.39
Barcelona,26.4,65.5,38,80,51,72,2,73.5,972,2157,2.11,1.34,1.94
Betis,27.9,53.6,38,50,35,93,8,49.1,694,1441,1.32,0.92,1.29
Cádiz,28.8,34.8,38,33,16,81,3,34.7,455,854,0.87,0.42,0.91
Celta Vigo,26.6,53.3,38,55,39,109,5,50.4,514,1308,1.45,1.03,1.33
Eibar,28.2,49.3,38,29,20,71,3,45.2,507,1295,0.76,0.53,1.19
Elche,28.1,47.5,38,33,25,99,3,29.9,500,927,0.87,0.66,0.79
Getafe,26.7,43.3,38,27,14,120,7,34.4,443,1090,0.71,0.37,0.91
Granada,27.4,41.4,38,47,30,97,6,41.1,411,975,1.24,0.79,1.08
Huesca,28.0,48.3,38,32,23,69,2,38.9,618,1185,0.84,0.61,1.02
Levante,28.0,52.2,38,45,35,68,1,40.4,619,1537,1.18,0.92,1.06
Osasuna,27.9,43.2,38,36,25,80,5,38.7,345,1220,0.95,0.66,1.02
Real Madrid,27.9,59.3,38,64,53,59,2,61.5,963,1920,1.68,1.39,1.62
Real Sociedad,25.0,54.9,38,58,39,81,1,60.7,626,1554,1.53,1.03,1.60
Sevilla,28.1,60.9,38,52,36,79,2,54.4,691,1627,1.37,0.95,1.43
Valencia,25.2,46.9,38,48,35,82,5,42.6,575,1180,1.26,0.92,1.12
Valladolid,28.1,45.2,38,34,21,93,4,40.1,564,1101,0.89,0.55,1.05
Villarreal,28.0,55.2,38,57,33,67,5,56.4,737,1628,1.50,0.87,1.48
