LaLiga,2021-2022,masculino
Alavés,27.9,42.0,38,29,20,93,4,37.3,420,984,0.76,0.53,0.98
Athletic Club,26.9,48.1,38,40,34,90,4,49.6,653,1572,1.05,0.89,1.31
Atlético Madrid,28.1,50.6,38,63,45,111,7,54.4,705,1463,1.66,1.18,1.43
Barcelona,26.2,64.2,38,68,52,97,5,63.4,961,2079,1.79,1.37,1.67
Betis,28.9,53.7,38,60,45,87,6,53.5,666,1518,1.58,1.18,1.41
Cádiz,28.5,41.3,38,35,21,105,3,39.5,571,1080,0.92,0.55,1.04
Celta Vigo,28.4,55.2,38,43,29,87,3,43.1,665,1447,1.13,0.76,1.13
Elche,29.1,48.4,38,39,29,104,6,33.7,531,1102,1.03,0.76,0.89
Espanyol,27.7,46.9,38,39,25,99,7,36.7,610,1212,1.03,0.66,0.97
Getafe,26.6,41.5,38,31,26,121,8,29.3,399,917,0.82,0.68,0.77
Granada,28.1,44.7,38,43,28,105,4,39.0,435,1047,1.13,0.74,1.03
Levante,28.0,47.2,38,51,34,109,6,55.1,569,1343,1.34,0.89,1.45
Mallorca,27.9,45.3,38,33,23,114,7,38.8,575,1129,0.87,0.61,1.02
Osasuna,27.7,46.9,38,37,23,84,2,36.7,417,1328,0.97,0.61,0.96
Rayo Vallecano,27.5,49.9,38,38,28,101,3,42.8,697,1312,1.00,0.74,1.13
Real Madrid,27.7,59.9,38,80,59,76,0,71.7,1029,2078,2.11,1.55,1.89
Real Sociedad,25.7,54.3,38,40,22,77,4,51.5,667,1462,1.05,0.58,1.36
Sevilla,28.6,59.4,38,51,40,97,4,42.4,625,1596,1.34,1.05,1.12
Valencia,24.8,43.6,38,45,30,134,8,39.0,554,1202,1.18,0.79,1.03
Villarreal,28.0,56.8,38,62,51,81,1,64.2,790,1698,1.63,1.34,1.69
