LigaF,2022-2023,femenino
Alavés,27.4,42.5,19,18,11,40,1,20.8,167,338,0.95,0.58,1.10
Alhama,26.4,39.6,19,13,8,39,2,14.7,136,390,0.68,0.42,0.77
Athletic Club,24.3,49.5,19,19,15,26,1,18.3,201,507,1.00,0.79,0.96
Atlético Madrid,26.3,57.9,19,32,20,26,0,31.3,389,882,1.68,1.05,1.65
Barcelona,27.0,70.5,19,80,56,18,0,69.9,465,1313,4.21,2.95,3.68
Levante,24.9,60.1,19,54,42,23,0,45.0,300,833,2.84,2.21,2.37
Levante Planas,26.1,41.2,19,15,9,38,2,15.8,191,442,0.79,0.47,0.83
Madrid CFF,27.0,50.6,19,37,24,40,1,29.6,287,687,1.95,1.26,1.56
Real Betis,25.9,47.1,19,17,10,37,1,14.4,200,476,0.89,0.53,0.76
Real Madrid,26.0,61.2,19,57,41,23,0,39.3,399,912,3.00,2.16,2.07
Real Sociedad,23.8,59.8,19,34,28,25,1,31.8,318,890,1.79,1.47,1.67
Sevilla,27.8,46.5,19,29,19,33,6,27.6,255,598,1.53,1.00,1.45
Sporting Huelva,26.8,35.5,19,15,11,27,2,12.3,120,413,0.79,0.58,0.65
UDG Tenerife,28.0,44.6,19,16,9,36,1,18.6,178,494,0.84,0.47,0.98
Valencia,24.2,49.4,19,24,15,25,0,24.6,250,558,1.26,0.79,1.29
Villarreal,26.2,44.2,19,17,10,42,3,18.8,150,515,0.89,0.53,0.99
