Premier,2020-2021,masculino
Arsenal,25.9,53.5,38,53,38,49,5,51.8,758,1760,1.39,1.00,1.36
Aston Villa,25.2,48.5,38,52,38,71,4,52.5,629,1420,1.37,1.00,1.38
Brighton,25.8,51.1,38,39,24,49,6,50.9,685,1516,1.03,0.63,1.34
Burnley,28.3,42.1,38,32,20,48,0,39.3,389,1012,0.84,0.53,1.03
Chelsea,26.0,60.9,38,56,38,51,3,62.4,895,1798,1.47,1.00,1.64
Crystal Palace,29.1,40.6,38,39,29,56,2,34.1,526,1132,1.03,0.76,0.90
Everton,26.3,46.4,38,45,32,59,2,45.7,604,1184,1.18,0.84,1.20
Fulham,25.2,49.7,38,26,18,67,3,40.5,727,1354,0.68,0.47,1.07
Leeds United,26.1,57.3,38,60,45,61,1,55.6,811,1633,1.58,1.18,1.46
Leicester City,26.5,54.3,38,64,45,61,0,55.8,666,1464,1.68,1.18,1.47
Liverpool,26.8,62.1,38,65,43,40,0,67.5,886,2057,1.71,1.13,1.78
Manchester City,26.1,63.5,38,82,55,46,2,68.2,1096,2051,2.16,1.45,1.80
Manchester Utd,25.6,55.7,38,70,51,64,1,60.1,877,1832,1.84,1.34,1.58
Newcastle Utd,27.1,38.8,38,44,26,65,3,43.4,467,903,1.16,0.68,1.14
Sheffield Utd,26.7,41.7,38,19,13,73,3,32.6,491,1196,0.50,0.34,0.86
Southampton,26.6,52.0,38,47,33,52,3,41.2,626,1195,1.24,0.87,1.09
Tottenham,27.2,51.6,38,66,50,57,2,53.1,633,1330,1.74,1.32,1.40
West Brom,26.4,37.9,38,33,20,51,4,35.8,441,1027,0.87,0.53,0.94
West Ham,27.8,43.2,38,60,46,50,3,55.4,658,1282,1.58,1.21,1.46
Wolves,26.3,49.3,38,34,21,55,1,36.5,800,1283,0.89,0.55,0.96
