SuperLeague,2021-2022,femenino
Arsenal,26.5,61.4,22,62,45,27,1,39.9,375,1277,2.82,2.05,1.81
Aston Villa,26.5,46.3,22,12,8,21,0,13.3,205,601,0.55,0.36,0.61
Birmingham City,26.2,34.0,22,15,9,19,1,11.9,140,323,0.68,0.41,0.54
Brighton,26.5,46.7,22,24,14,24,0,16.7,169,630,1.09,0.64,0.76
Chelsea,26.7,60.0,22,62,44,14,1,43.5,357,1108,2.82,2.00,1.98
Everton,25.9,51.4,22,18,10,17,0,21.0,268,694,0.82,0.45,0.95
Leicester City WFC,24.0,38.4,22,13,8,27,1,15.6,173,422,0.59,0.36,0.71
Manchester City,26.3,65.2,22,58,39,13,1,41.8,499,1166,2.64,1.77,1.90
Manchester Utd,25.8,57.0,22,43,32,20,0,29.8,296,886,1.95,1.45,1.35
Reading,26.7,43.2,22,20,15,19,0,17.3,195,451,0.91,0.68,0.79
Tottenham,28.3,50.7,22,22,14,40,1,24.3,236,771,1.00,0.64,1.10
West Ham,27.1,45.7,22,21,16,25,2,19.2,254,686,0.95,0.73,0.87
